	model_name	motion	orientation	distance	containment	metaphor	all
0	gpt-b	0.3333333333333333	0.4285714285714285	0.4	0.2857142857142857	0.925925925925926	0.4747089947089947
0	gpt-m	0.3333333333333333	0.4285714285714285	0.4	0.2857142857142857	0.925925925925926	0.4747089947089947
0	gpt-l	0.0	0.0	0.1	0.0	0.2222222222222222	0.06444444444444444
0	gpt-xl	0.3333333333333333	0.1428571428571428	0.3	0.2142857142857142	0.3333333333333333	0.2647619047619047
0	unifiedqav2-s	0.1666666666666666	0.1428571428571428	0.35	0.0	0.8518518518518519	0.30227513227513225
0	unifiedqav2-b	0.3333333333333333	0.4285714285714285	0.4	0.2857142857142857	0.925925925925926	0.4747089947089947
0	unifiedqav2-l	0.0833333333333333	0.4285714285714285	0.3	0.5	0.074074074074074	0.2771957671957671
0	unifiedqav2-xl	0.3333333333333333	0.4285714285714285	0.3	0.5	0.074074074074074	0.32719576719576715
0	t5-s	0.0833333333333333	0.0	0.6	0.2857142857142857	0.3333333333333333	0.2604761904761904
0	t5-b	0.3333333333333333	0.0	0.3	0.1071428571428571	0.2592592592592592	0.19994708994708993
0	t5-l	0.3333333333333333	0.0	0.45	0.25	0.1851851851851851	0.24370370370370367
0	t5-xl	0.4166666666666667	0.1428571428571428	0.55	0.1785714285714285	0.1851851851851851	0.2946560846560846
0	deberta-b	0.3333333333333333	0.0	0.45	0.1785714285714285	0.2222222222222222	0.23682539682539677
0	deberta-l	0.4166666666666667	0.1428571428571428	0.5	0.25	0.1481481481481481	0.29153439153439153
0	deberta-xl	0.5	0.1428571428571428	0.5	0.25	0.1481481481481481	0.3082010582010582
0	deberta-xxl	0.4166666666666667	0.1428571428571428	0.55	0.25	0.1481481481481481	0.30153439153439154
0	roberta-b	0.3333333333333333	0.0	0.55	0.2142857142857142	0.2222222222222222	0.2639682539682539
0	roberta-l	0.4166666666666667	0.1428571428571428	0.55	0.2857142857142857	0.1481481481481481	0.30867724867724866
0	albert-l	0.0833333333333333	0.0	0.45	0.25	0.7037037037037037	0.2974074074074074
0	xlnet-b	0.25	0.1428571428571428	0.55	0.2857142857142857	0.2962962962962963	0.304973544973545
