	model_name	motion	motion_sd	orientation	orientation_sd	distance	distance_sd	containment	containment_sd	metaphor	metaphor_sd	all	all_sd
0	gpt-b	0.3333333333333333	0.4714045207910317	0.4285714285714285	0.4948716593053934	0.4	0.4898979485566356	0.2857142857142857	0.4517539514526256	0.925925925925926	0.2618914004394621	0.4747089947089947	0.25836645756258314
0	gpt-m	0.3333333333333333	0.4714045207910317	0.4285714285714285	0.4948716593053934	0.4	0.4898979485566356	0.2857142857142857	0.4517539514526256	0.925925925925926	0.2618914004394621	0.4747089947089947	0.25836645756258314
0	gpt-l	0.2905092592592592	0.2593083410881484	0.1993693310657596	0.2258188537188591	0.34875	0.3881247204328927	0.4699074074074075	0.2512931338500881	0.4720679012345679	0.38823400424424	0.35612077979339885	0.11760245351824149
0	gpt-xl	0.6440972222222222	0.4358537977190415	0.6796697845804989	0.3373939287163744	0.6171875	0.4256836183936962	0.6135161135161135	0.3721177640188384	0.4980452674897119	0.4443714991674187	0.6105031775617094	0.06821495226566907
0	unifiedqav2-s	0.3298611111111111	0.4527623335811809	0.3237563775510204	0.402892958753844	0.3991666666666666	0.4888897569436738	0.2385536916786917	0.3127238519633553	0.9205246913580248	0.2610739875252862	0.442372507673103	0.2732978987728249
0	unifiedqav2-b	0.3333333333333333	0.4714045207910317	0.4285714285714285	0.4948716593053934	0.4	0.4898979485566356	0.2857142857142857	0.4517539514526256	0.925925925925926	0.2618914004394621	0.4747089947089947	0.25836645756258314
0	unifiedqav2-l	0.3020833333333333	0.4307095378773478	0.4285714285714285	0.4948716593053934	0.3	0.4582575694955839	0.5	0.5	0.0997942386831275	0.2696611765965275	0.3260898001175779	0.1526547665782733
0	unifiedqav2-xl	0.3333333333333333	0.4714045207910317	0.4325396825396825	0.4915191561646353	0.3004166666666666	0.4579883171120319	0.5070947570947572	0.4941718816342996	0.0929012345679012	0.2733226407847583	0.33325713484046815	0.15726252266559934
0	t5-s	0.6174768518518517	0.3030921630284526	0.219047619047619	0.2675103575251245	0.6479166666666667	0.4746919688364	0.4881954465287798	0.4512100623330904	0.3623456790123456	0.4569176811388416	0.4669964526214526	0.17906442990792346
0	t5-b	0.6313657407407408	0.3514494798136462	0.3552012471655328	0.2495810243166072	0.5244791666666667	0.4544493935545335	0.4513888888888888	0.4068023145514066	0.3556069958847736	0.4290179769394853	0.4636084078693205	0.11770036760278516
0	t5-l	0.7337962962962964	0.2828718857933584	0.2987634637188208	0.1954191498442876	0.6280208333333333	0.450809204433631	0.4429262866762867	0.4264663868421863	0.315895061728395	0.409745035518421	0.4838803883506264	0.19196289557723706
0	t5-xl	0.7986111111111112	0.2987725661708187	0.3369614512471655	0.4138505649327742	0.7004166666666667	0.3839621201658078	0.5070747154080487	0.4113097158064294	0.2498971193415637	0.396452376009354	0.5185922127549112	0.2328036484746073
0	deberta-b	0.7835648148148149	0.2236972410996233	0.4949121315192744	0.3470149799179086	0.5882291666666666	0.4757182412437885	0.5110078964245631	0.394287477367909	0.283179012345679	0.4235579527688708	0.5321786043541996	0.18039850195989737
0	deberta-l	0.8171296296296297	0.2552076772058417	0.5467722505668934	0.3342830612388009	0.6958333333333333	0.3712544425473063	0.5681567660734327	0.3959093934318378	0.2685699588477366	0.3870549696337675	0.5792923876902052	0.20486479372858382
0	deberta-xl	0.8020833333333331	0.2799753925290769	0.5548008786848072	0.3895051592707699	0.7422916666666667	0.3457084990558439	0.5298470819304153	0.4304694630794524	0.2256172839506172	0.3604370753780995	0.5709280489131678	0.2258237758030414
0	deberta-xxl	0.767361111111111	0.3077115122038796	0.5497059240362812	0.3390786480875375	0.7096875	0.3663186529085708	0.5706444404361071	0.416380876494569	0.2276234567901234	0.3939488085662484	0.5650044864747246	0.20974579389191433
0	roberta-b	0.710648148148148	0.307003269319911	0.3209785997732425	0.2331132813495829	0.60125	0.4577441288536642	0.529260862594196	0.4167996855049643	0.3469135802469136	0.4288295640470256	0.5018102381525	0.16654438728093163
0	roberta-l	0.7667824074074073	0.2535666733798764	0.5387117346938776	0.3425798806556992	0.6385416666666667	0.4384293205263788	0.5335497835497834	0.4424151723404446	0.2596707818930041	0.3506072613958063	0.5474512748421478	0.1867423682103976
0	albert-l	0.4571759259259259	0.3658524354762392	0.1721938775510204	0.2183942660946058	0.5304166666666668	0.4831269315039728	0.2840182579765913	0.4224047480623599	0.7449074074074075	0.4121738224889231	0.4377424271055223	0.22218441272025388
0	xlnet-b	0.7349537037037034	0.2509920090309524	0.3318239795918367	0.3971583529622359	0.6101041666666667	0.4719884774333597	0.5342412217412217	0.4319803778857161	0.3358024691358025	0.4495643456717327	0.5093851081678461	0.17557208873664648
